Title,Genre,Tags,cast,Rating,type
Cheat,Thriller,"TV Thrillers,British","Lorraine Ashbourne, Katherine Kelly, Molly Windsor, Tom Goodman-Hill",6.7,Series
De Geheimen van Barslet,Drama,"TV Dramas,Dutch TV Shows,TV Thrillers,Fantasy TV Shows","Sallie Harmsen, Teun Luijkx, Dragan Bakema, Barbara Pouwels",7.3,Series
Superstore,Comedy,"Sitcoms,Comedy Programmes,US TV Programmes","Nico Santos, Lauren Ash, Ben Feldman, Colton Dunn",7.8,Series
The Treflik Family,Animation,"TV Cartoons,Kids&#39; TV,Polish TV Shows","Dorota Kawecka, Cezary Kwiecinski, Karolina Trebacz, Joanna Jablczynska",8.5,Series
Night Stalker: The Hunt for a Serial Killer,"Documentary, Crime","Crime Documentaries,Docuseries,US TV Shows,True Crime Documentaries","Tony Valdez, Frank Salerno, Gil Carrillo, Laurel Erickson",7.5,Series
Laid-Back Camp,"Animation, Adventure, Comedy","Anime Series,Slice of Life Anime,School Anime,Family Watch Together TV,Anime Based on Comics","Yumiri Hanamori, Aki Toyosaki, Sayuri Hara, Nao Tôyama",7.9,Series
Kemono Jihen,"Animation, Action, Fantasy, Mystery","Action Anime,Anime Series,Sci-Fi & Fantasy Anime,Anime Based on Comics,Mystery & Thriller Anime","Jun'ichi Suwabe, Natsumi Fujiwara",7.8,Series
Idoly Pride,"Animation, Drama, Music","Drama Anime,Anime Series","Kokona Natsume, Mirai Tachibana, Nao Sasaki, Mai Sugano",8.2,Series
Lupin,"Animation, Adventure, Family, Fantasy","TV Mysteries,TV Comedies,TV Action & Adventure,TV Dramas,Crime TV Dramas,TV Shows Based on Books,French","Yasuo Yamada, Eiko Masuyama, Makio Inoue, Kiyoshi Kobayashi",7.7,Series
Gaya Sa Pelikula,Romance,"Comedy Programmes,Drama Programmes,Romantic TV Comedies,Romantic TV Dramas,Teen Programmes,Filipino TV Shows","Paolo Pangilinan, Adrienne Vergara, Yesh Burce, Ian Pangilinan",8.7,Series
Back to Life,"Comedy, Drama","Comedy Programmes,Drama Programmes,British","Geraldine James, Richard Durden, Daisy Haggard, Liam Williams",7.5,Series
Headspace Guide to Meditation,"Documentary, Animation","Science & Nature Docs,Special Interest,Docuseries,Science & Nature TV,US TV Shows,Lifestyle",Andy Puddicombe,8.6,Series
VINLAND SAGA,"Animation, Action, Adventure, Drama, History","Drama Anime,Action Anime,Anime Series,Historical Anime,Anime Based on Comics","Hiroki Yasumoto, Naoya Uchida, Yûto Uemura, Kenshô Ono",8.8,Series
My Girl,"Comedy, Drama, Family, Romance","TV Comedies,Romantic TV Comedies,Korean TV Shows","Macaulay Culkin, Jamie Lee Curtis, Dan Aykroyd, Anna Chlumsky",6.9,Series
Macross Frontier,"Animation, Action, Music, Romance, Sci-Fi","Action Anime,Anime Series,Sci-Fi & Fantasy Anime,Romance Anime,Mecha & Cyborg Anime","Aya Endô, Kikuko Inoue, Jun Fukuyama, Sanae Kobayashi",7.9,Series
Come Back Mister,"Comedy, Drama, Fantasy","TV Comedies,TV Dramas,Korean TV Shows,TV Shows Based on Books",Lee Hanee,7.5,Series
Running Man,"Comedy, Game-Show, Reality-TV","Animal Tales,TV Comedies,TV Cartoons,Kids&#39; TV,Korean TV Shows","Haha, Jae-Suk Yoo, Kwang-Soo Lee, Jong-Kook Kim",9.0,Series
Heroes Reborn,"Drama, Fantasy, Sci-Fi, Thriller","TV Dramas,US TV Shows,Fantasy TV Shows,Sci-Fi TV","Robbie Kay, Jack Coleman, Zachary Levi, Kiki Sukezane",6.7,Series
Soreike! Anpanman,"Animation, Action, Family, Fantasy","Kids&#39; TV,Japanese TV Shows,TV Shows Based on Books","Hiroshi Masuoka, Rei Sakuma, Keiko Toda, Ryûsei Nakao",7.0,Series
Love and Redemption,"Drama, Fantasy, Romance","Chinese TV Shows,Fantasy TV Shows,TV Shows Based on Books",Yi Cheng,8.3,Series
A Love So Beautiful,"Comedy, Romance","TV Comedies,Romantic TV Comedies,Teen TV Shows,Korean TV Shows,TV Shows Based on Books","Shen Yue, Yitian Hu",8.1,Series
Evils Wave,Drama,"TV Mysteries,TV Thrillers,TV Shows Based on Books,Japanese TV Series","Gustaf Skarsgård, Linda Zilliacus, Henrik Lundström, Andreas Wilson",7.8,Series
Dewi,"Drama, Mystery","Drama Programmes,Romantic TV Dramas","Maya Karin, Khatijah Tan, Jeslina Hashim, Hairie Othman",6.7,Series
My Only One,Drama,"TV Dramas,Korean TV Shows","Lee Jang-woo, Yoon Jin Yi, Sung-Hoon Park, Hye-mi Na",7.8,Series
Find Me in Your Memory,"Fantasy, Mystery, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows","Ga-young Moon, Seul-gi Kim, Dong-wook Kim, Jong-Hoon Yoon",7.4,Series
The Desire,"Romance, Drama, Mystery","Drama Programmes,Romantic TV Dramas,TV Programmes Based on Books,Thai TV Programmes",Natalia Oreiro,7.9,Series
Baptiste,"Crime, Drama, Thriller","Mystery Programmes,Drama Programmes,Crime TV Dramas,TV Thrillers,British","Barbara Sarafian, Tchéky Karyo, Anastasia Hille, Tom Hollander",7.3,Series
Summer of Rockets,Drama,"Drama Programmes,Political TV Programmes,British","Keeley Hawes, Linus Roache, Toby Stephens, Lily Sacofsky",7.0,Series
Bridgerton,"Drama, Romance","TV Dramas,Period Pieces,Romantic TV Dramas,US TV Shows,TV Shows Based on Books","Bessie Carter, Jonathan Bailey, Nicola Coughlan, Harriet Cains",7.3,Series
The Husbands,,"Drama Programmes,Romantic TV Dramas,TV Programmes Based on Books,Thai TV Programmes",,7.8,Series
Astro Boy,"Animation, Action, Comedy, Family, Sci-Fi","Anime Series,Kids&#39; TV,Japanese TV Programmes,TV Programmes Based on Manga","Freddie Highmore, Ryan Stiles, Eugene Levy, Charlize Theron",6.3,Series
Joanna Lumleys Trans-Siberian Adventure,Documentary,"Travel & Adventure Documentaries,Social & Cultural Docs,Reality TV,Food & Travel TV,Documentary Films,Lifestyle,British",Joanna Lumley,8.1,Series
Joanna Lumleys Silk Road Adventure,Documentary,"Travel & Adventure Documentaries,Social & Cultural Documentaries,Reality TV,Docuseries,Food & Travel TV,Lifestyle,British",Joanna Lumley,8.1,Series
Joanna Lumleys Japan,Documentary,"Travel & Adventure Documentaries,Social & Cultural Documentaries,Reality TV,Docuseries,Food & Travel TV,Lifestyle,British",Joanna Lumley,8.1,Series
Japan with Sue Perkins,Documentary,"Travel & Adventure Documentaries,Social & Cultural Documentaries,Docuseries,Food & Travel TV,British",Sue Perkins,6.8,Series
The Time We Were Not In Love,"Comedy, Drama, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows","Won-Hee Go, Seo Dong-gun, In-Young Hong, Ha Ji-Won",7.3,Series
Pinkfong & Hogi Dance Dance,Animation,"TV Cartoons,Kids&#39; TV,Kids&#39; Music,Korean Programmes","Lexi Fontaine, Kate Higgins, Cassandra Lee Morris, Kyle McCarley",7.1,Series
The Fierce Wife,Drama,"Drama Programmes,Romantic TV Dramas,Thai TV Programmes","Sonia Sui, Karen Ying-Chen Hu, Sheng-hao Wen, Amanda Chu",6.6,Series
Emergency Interrogation Room,Mystery,"Mystery Programmes,Drama Programmes,Crime TV Dramas,Japanese TV Programmes","Tetsushi Tanaka, Mokomichi Hayami, Kôsuke Suzuki, Yûki Amami",6.9,Series
Kkondae Intern,"Comedy, Drama","TV Comedies,TV Dramas,Korean TV Shows","Gi-woong Park, Eung-soo Kim, Han Ji-Eun, Park Hae-Jin",7.4,Series
Rhyme Time Town Singalongs,"Animation, Family","Animation,Animal Tales,TV Cartoons,Kids&#39; TV,Kids Music",Maddie Evans,8.3,Series
Lovestruck in the City,"Drama, Romance","TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Korean TV Shows","Kim Ji-Won, Joo-yeon So, Kim Min-Suk, Ji Chang-Wook",7.4,Series
Mystic,Sci-Fi,"TV Dramas,Teen TV Shows,TV Shows Based on Books,Family Watch Together TV","Sonya Anand, Darryl Dougherty, John Gillespie, Trisha Echeverria",7.4,Series
Sweet Home,Horror,"Drama Programmes,Korean Programmes,Horror Programmes,TV Thrillers,Fantasy TV Programmes,Korean TV Programmes Based on Webtoon","Eduardo Lloveras, Oriol Tarrida Homedes, Ingrid García Jonsson, Bruno Sevilla",5.2,Series
Paava Kadhaigal,Drama,"Drama Programmes,Indian Programmes,Social Issue TV Dramas","Simran, Prakash Raj, Anjali, Kalidas Jayaram",8.1,Series
Schulz Saves America,Comedy,"Comedy Programmes,Stand-up Comedy",Andrew Schulz,7.5,Series
The Challenge,"Adventure, Comedy, Family","Reality TV,Competition Reality TV","Brian Skala, Lukas Behnken, Mary-Kate Olsen, Ashley Olsen",5.3,Series
The Sound of Your Heart,Comedy,"Sitcoms,TV Comedies,K-dramas,K-dramas based on Webtoon","Dae-Myung Kim, Kwang-Soo Lee, Jung So-Min, Kim Byeong-Ok",8.3,Series
Hindenburg,"Documentary, History","TV Action & Adventure,Period Pieces,German TV Shows,TV Thrillers","William Roberts, John Shrapnel, Mark McGann, Malcolm Tierney",6.8,Series
Ranczo,Comedy,"TV Comedies,Polish TV Shows","Ilona Ostrowska, Cezary Zak, Piotr Pregowski, Pawel Królikowski",6.9,Series
A-Teen,"Comedy, Drama, Romance","TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Teen Romance,Teen TV Dramas,Korean TV Shows","Na-Eun Lee, Ye-Eun Shin, Kim Dong-Hee, Soo-Hyun Kim",8.0,Series
Moominvalley,"Animation, Drama, Family, Fantasy","Animation,TV Cartoons,Kids&#39; TV,Scandinavian TV Shows,TV Shows Based on Books","Matt Berry, Taron Egerton, Edvin Endre, Warwick Davis",7.2,Series
The Return of the Condor Heroes,"Action, Adventure, Fantasy, Romance","Drama Programmes,Period Pieces,Romantic TV Dramas,Romantic Favourites,TV Programmes Based on Books,Singaporean Programmes","Xiaoming Huang, Lin Kong, Yifei Liu",7.3,Series
Stepping Out,"Comedy, Drama, Musical","Drama Programmes,Period Pieces,TV Programmes Based on Books,Singaporean Programmes,Social Issue TV Dramas","Robyn Stevan, Bill Irwin, Ellen Greene, Jane Krakowski",6.4,Series
Wild Orchids,"Romance, Drama","Drama Programmes,Romantic TV Dramas,Singaporean Programmes","Nils Asther, Greta Garbo, Lewis Stone",6.5,Series
Mystery,"Adventure, Comedy","Drama Programmes,Fantasy TV Programmes,TV Programmes Based on Books,Singaporean Programmes","Mike Myers, Mimi Rogers, Michael York, Elizabeth Hurley",7.0,Series
Morning Express,"News, Talk-Show","Drama Programmes,Singaporean Programmes",Robin Meade,7.3,Series
Masters Of The Sea,"Short, Comedy, Sport","Drama Programmes,Singaporean Programmes","Ellen Raine Scott, Thomas Potter, Michael Coleman, Colin Decker",8.3,Series
Immortal Love,Romance,"Action & Adventure Programmes,Drama Programmes,Fantasy TV Programmes,Singaporean Programmes","Sebnem Dönmez, Tolga Çevik, Ufuk Özkan, Demet Akbag",6.8,Series
The Golden Pillow,"Drama, Action, Family","Drama Programmes,Romantic TV Dramas,Singaporean Programmes","Fann Wong, Shaoguang Xie, Alex Man, Zoe Tay",7.8,Series
1920. Wojna i milosc,"Action, History, Romance, War","TV Dramas,Period Pieces,Polish TV Shows","Michal Zurawski, Tomasz Borkowski, Jakub Wesolowski, Wojciech Zielinski",6.9,Series
Once Upon a Time,"Adventure, Fantasy, Romance","Drama Programmes,Romantic TV Dramas,Middle Eastern TV Programmes,Social Issue TV Dramas,Egyptian TV Shows","Jennifer Morrison, Robert Carlyle, Jared Gilmore, Lana Parrilla",7.7,Series
Babel,Drama,"TV Dramas,K-dramas","Mohamed Akhzam, Brad Pitt, Peter Wight, Cate Blanchett",7.4,Series
The War of the Worlds,"Action, Sci-Fi, Thriller","Alien Sci-Fi,Drama Programmes,Period Pieces,British Programmes,TV Programmes Based on Books,Sci-Fi TV","Gene Barry, Robert Cornthwaite, Les Tremayne, Ann Robinson",7.1,Series
The Pet Girl of Sakurasou,"Animation, Comedy, Drama, Romance","Anime Series,Japanese TV Shows,Romance Anime,School Anime,Anime based on Light Novels","Mariko Nakatsu, Yoshitsugu Matsuoka, Natsumi Takamori, Ai Kayano",7.8,Series
World on Fire,"Drama, War","TV Dramas,British TV Shows","Julia Brown, Jonah Hauer-King, Helen Hunt, Sean Bean",7.2,Series
100 Days My Prince,"Comedy, History, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows","Jo Han-Chul, Jo Sung-ha, Nam Ji-Hyun, Kyung-soo Do",7.5,Series
Spirit,"Comedy, Drama","Reality TV,South African TV Shows","Nandu, Mohanlal, Kaniha, Shankar Ramakrishnan",7.5,Series
The Ultimate Braai Master,Reality-TV,"Reality TV,Competition Reality TV,Food & Travel TV,South African TV Shows","Karl Tessendorf, Greg Gilowey",7.1,Series
Nothing But Thirty,Drama,"TV Dramas,Mainland Chinese TV Shows",Shuying Jiang,7.2,Series
Graceful Family,Drama,"TV Dramas,K-dramas","Lee Jang-woo, Chong-ok Bae, Soo-hyang Im",7.9,Series
Detention,"Comedy, Horror, Mystery, Sci-Fi, Thriller","Drama Programmes,Chinese  Programmes,Horror Programmes,Taiwanese TV Programmes,TV Programmes Based on Books","Julie Dolan, Shanley Caswell, Alison Woods, Logan Stalarow",5.7,Series
Selena: The Series,"Biography, Drama, Music","Music,Music,Music,Latin Music,Latin Music,Latin Music,TV Dramas,Drama Programmes,TV Dramas,Family Watch Together TV,Music & Musicals,Music & Musicals,Family Watch Together TV,Family Watch Together TV","Ricardo Chavira, Gabriel Chavarria, Christian Serratos, Noemi Gonzalez",6.6,Series
Once Again,"Drama, Romance","TV Dramas,Korean TV Shows","Neeraj Kabi, Bidita Bag, Shefali Shah, Priyanshu Painyuli",7.0,Series
The Holiday Movies That Made Us,"Documentary, Family","Docuseries,Family Watch Together TV",Phe Caplan,7.2,Series
Twelve Nights,Documentary,"TV Dramas,Romantic TV Dramas,Korean TV Shows",,7.6,Series
Matrimonial Chaos,"Comedy, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows","Tae-Hyun Cha, Bae Doona, Sukku Son, Wi Ha-Joon",7.2,Series
"Fujoshi, Ukkari Gei ni Kokuru",Drama,"TV Dramas,Teen TV Dramas,TV Shows Based on Books,Japanese Youth TV Dramas,Japanese TV Series","Ryôko Fujino, Yûki Ogoe, Shôsuke Tanihara, Daichi Kaneko",7.0,Series
The Guest,"Action, Mystery, Thriller","TV Mysteries,Korean TV Shows,TV Horror,TV Thrillers,TV Shows Based on Books","Sheila Kelley, Maika Monroe, Dan Stevens, Brendan Meyer",6.7,Series
Princess Sarah,Drama,"TV Cartoons,Drama Programmes,Kids&#39; TV,Japanese TV Programmes,TV Programmes Based on Books","Ai-Ai de las Alas, Diether Ocampo, Albert Martinez, Sharlene San Pedro",7.9,Series
Scent of Love,"Drama, Romance","Drama Programmes,Romantic TV Dramas,TV Programmes Based on Books,Thai TV Programmes","Song Seon-mi, Park Hae-il, Yu-seok Kim, Jin-young Jang",6.6,Series
Go Ahead,"Comedy, Drama, Family, Romance","Drama Programmes,Romantic TV Dramas,Chinese  Programmes,Mainland Chinese TV Shows","Xilin Zhang, Tongshu Yang, Songyan Tu, Songyun Tan",8.6,Series
A Very English Scandal,"Biography, Comedy, Crime, Drama, History","TV Comedies,TV Dramas,British TV Shows,TV Shows Based on Books","Ben Whishaw, Hugh Grant, Patricia Hodge, Alex Jennings",7.7,Series
Deliver Us,Documentary,"TV Dramas,Crime TV Dramas,Scandinavian TV Shows,Danish TV Shows,TV Thrillers",,6.4,Series
The Uncanny Counter,"Action, Fantasy, Horror, Mystery","Action & Adventure Programmes,Drama Programmes,Korean Programmes,Korean TV Programmes Based on Webtoon","Se-Jeong Kim, Byeong-gyu Jo, Yeom Hye-ran, Joon-Sang Yoo",8.1,Series
Space Brothers,Comedy,"Drama Anime,Anime Series,Comedy Anime,Anime Based on Comics","Buzz Aldrin, Masaki Okada, Kumiko Asô, Shun Oguri",6.7,Series
Tower of God,"Animation, Action, Adventure, Drama, Fantasy, Mystery","Action Anime,Anime Series,Sci-Fi & Fantasy Anime","Chris Hackney, Johnny Yong Bosch, Matthew David Rudd, Cherami Leigh",7.9,Series
Yashahime: Princess Half-Demon,"Animation, Action, Adventure, Comedy, Fantasy","Action Anime,Anime Series,Sci-Fi & Fantasy Anime,Anime Based on Comics","Azusa Tadokoro, Sara Matsumoto, Mikako Komatsu, Kôsuke Kobayashi",7.6,Series
Rich Man,"Comedy, Romance","TV Dramas,Romantic TV Dramas,Korean TV Shows",Yeon-Soo Ha,6.7,Series
Path of the Dragons,,"TV Dramas,Crime TV Dramas,TV Thrillers,TV Shows Based on Books,Japanese TV Series","Ken'ichi Endô, Yujiro Imamura, Yoshihiko Hosoda, Nao Honda",6.8,Series
Olympia Kyklos,"Animation, Comedy",TV Comedies,Jin Katagiri,6.7,Series
Moriarty the Patriot,"Animation, Crime, History, Mystery, Thriller","Drama Anime,Anime Series,TV Thrillers,Historical Anime,Anime Based on Comics,Mystery & Thriller Anime",Makoto Furukawa,7.7,Series
Im Standing on a Million Lives,"Action, Adventure, Fantasy, Sci-Fi","Action Anime,Anime Series,Sci-Fi & Fantasy Anime,Anime Based on Comics","Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",6.5,Series
DRAGON QUEST The Adventure of Dai,"Animation, Action, Adventure, Fantasy","Action Anime,Anime Series,Kids&#39; TV,Japanese Kids&#39; TV,Kids&#39; Anime,Anime based on a Video Game,Anime Based on Comics","Ai Furihata, Mikako Komatsu, Toshiyuki Toyonaga, Atsumi Tanezaki",8.1,Series
Double Fantasy,Drama,"TV Dramas,Romantic TV Dramas,Steamy Romance,TV Shows Based on Books,Japanese TV Series","Zuimaro Awashima, Hidekazu Mashima, Ryô Ikeda, Asami Mizukawa",7.1,Series
Dennou Coil,"Animation, Adventure, Comedy, Drama, Mystery, Sci-Fi","Anime Series,Kids&#39; TV,Japanese Kids&#39; TV,Kids&#39; Anime","Monica Rial, Brittney Karbowski, Hilary Haag, Tiffany Grant",7.9,Series
The Day I Became a God,"Animation, Drama, Fantasy","Anime Series,Sci-Fi & Fantasy Anime","Ayane Sakura, Sarah Roach, Natsuki Hanae, Yui Ishikawa",6.6,Series
Blue Spring Ride,"Animation, Comedy, Drama, Romance","Drama Anime,Anime Series,Teen Romance,Romance Anime,School Anime,Anime Based on Comics,Shoujo Anime","Masahiro Higashide, Tsubasa Honda, Mikako Komatsu, Ai Kayano",7.4,Series
Beelzebub,"Animation, Action, Comedy, Drama, Fantasy","Action Anime,Anime Series,Comedy Anime,Sci-Fi & Fantasy Anime,School Anime,Anime Based on Comics","Miyuki Sawashiro, Katsuyuki Konishi, Takahiro Mizushima, Shizuka Itô",7.6,Series
Heartbreak High,"Drama, Romance","TV Dramas,Australian TV Shows,Teen TV Shows","Callan Mulvey, Lara Cox, Ada Nicodemou, Emma Roche",7.8,Series
Voices of Fire,"Music, Reality-TV","Social & Cultural Docs,Reality TV,Docuseries,Competition Reality TV,Music & Musicals,US TV Shows,Faith & Spirituality,Music and Concert Films,Inspirational Music,International Reality, Talk & Variety Shows,Variety Entertainment,Reality, Variety & Talk Shows,Music","Shakara Monique, Jordan Felisbret",6.9,Series
Heart & Soul,"Comedy, Drama, Romance",Drama Programmes,"Aamir Khan, Saeed Jaffrey, Madhuri Dixit, Deven Verma",6.7,Series
As Aventuras de Poliana,"Adventure, Family, Romance","TV Soaps,Kids&#39; TV,Brazilian TV Shows,TV Shows Based on Books",Sophia Valverde,7.5,Series
Survivor,"Action, Crime, Thriller","Reality TV,Competition Reality TV","Parker Sawyers, Royce Pierreson, Bashar Rahal, Paddy Wallace",5.6,Series
